Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
23-24,276,1,Minnetonka Public School District,3,423,1,Hutchinson Public School District
23-24,276,1,Minnetonka Public School District,7,621,1,Mounds View Public School District
23-24,276,1,Minnetonka Public School District,1,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,276,1,Minnetonka Public School District,2,623,1,Roseville Public School District
23-24,276,1,Minnetonka Public School District,4,624,1,White Bear Lake School District
23-24,276,1,Minnetonka Public School District,4,625,1,Saint Paul Public Schools
23-24,276,1,Minnetonka Public School District,2,659,1,Northfield Public School District
23-24,276,1,Minnetonka Public School District,1,709,1,Duluth Public School District
23-24,276,1,Minnetonka Public School District,1,716,1,Belle Plaine Public School District
23-24,276,1,Minnetonka Public School District,2,717,1,Jordan Public School District
23-24,276,1,Minnetonka Public School District,13,719,1,Prior Lake-Savage Area Schools
23-24,276,1,Minnetonka Public School District,52,720,1,Shakopee Public School District
23-24,276,1,Minnetonka Public School District,7,728,1,Elk River Public School District
23-24,276,1,Minnetonka Public School District,2,742,1,St. Cloud Public School District
23-24,276,1,Minnetonka Public School District,1,818,1,Verndale Public School District
23-24,276,1,Minnetonka Public School District,3,831,1,Forest Lake Public School District
23-24,276,1,Minnetonka Public School District,2,833,1,South Washington County Schools
23-24,276,1,Minnetonka Public School District,5,834,1,Stillwater Area Public Schools
23-24,276,1,Minnetonka Public School District,1,876,1,Annandale Public School District
23-24,276,1,Minnetonka Public School District,4,877,1,Buffalo-Hanover-Montrose Schools
23-24,276,1,Minnetonka Public School District,12,879,1,Delano Public School District
23-24,276,1,Minnetonka Public School District,1,882,1,Monticello Public School District
23-24,276,1,Minnetonka Public School District,6,883,1,Rockford Public School District
23-24,276,1,Minnetonka Public School District,1,885,1,St. Michael-Albertville School District
23-24,276,1,Minnetonka Public School District,1,2144,1,Chisago Lakes School District
23-24,276,1,Minnetonka Public School District,2,2905,1,Tri-City United School District
23-24,277,1,Westonka Public School District,1,1,3,Minneapolis Public School District
23-24,277,1,Westonka Public School District,226,110,1,Waconia Public School District
23-24,277,1,Westonka Public School District,85,111,1,Watertown-Mayer Public School District
23-24,277,1,Westonka Public School District,4,112,1,Eastern Carver County Public Schools
23-24,277,1,Westonka Public School District,5,270,1,Hopkins Public School District
23-24,277,1,Westonka Public School District,4,272,1,Eden Prairie Public School District
23-24,277,1,Westonka Public School District,12,276,1,Minnetonka Public School District
23-24,277,1,Westonka Public School District,24,278,1,Orono Public School District
23-24,277,1,Westonka Public School District,3,279,1,Osseo Public School District
23-24,277,1,Westonka Public School District,1,281,1,Robbinsdale Public School District
23-24,277,1,Westonka Public School District,2,284,1,Wayzata Public School District
23-24,277,1,Westonka Public School District,1,717,1,Jordan Public School District
23-24,277,1,Westonka Public School District,4,877,1,Buffalo-Hanover-Montrose Schools
23-24,277,1,Westonka Public School District,10,879,1,Delano Public School District
23-24,277,1,Westonka Public School District,2,883,1,Rockford Public School District
23-24,278,1,Orono Public School District,3,1,3,Minneapolis Public School District
23-24,278,1,Orono Public School District,5,11,1,Anoka-Hennepin Public School District
23-24,278,1,Orono Public School District,1,13,1,Columbia Heights Public School District
23-24,278,1,Orono Public School District,12,111,1,Watertown-Mayer Public School District
23-24,278,1,Orono Public School District,4,112,1,Eastern Carver County Public Schools
23-24,278,1,Orono Public School District,12,270,1,Hopkins Public School District
23-24,278,1,Orono Public School District,2,272,1,Eden Prairie Public School District
23-24,278,1,Orono Public School District,2,273,1,Edina Public School District
23-24,278,1,Orono Public School District,9,276,1,Minnetonka Public School District
23-24,278,1,Orono Public School District,291,277,1,Westonka Public School District
23-24,278,1,Orono Public School District,58,279,1,Osseo Public School District
23-24,278,1,Orono Public School District,1,280,1,Richfield Public School District
23-24,278,1,Orono Public School District,40,281,1,Robbinsdale Public School District
23-24,278,1,Orono Public School District,2,283,1,St. Louis Park Public School District
23-24,278,1,Orono Public School District,303,284,1,Wayzata Public School District
23-24,278,1,Orono Public School District,2,625,1,Saint Paul Public Schools
23-24,278,1,Orono Public School District,2,876,1,Annandale Public School District
23-24,278,1,Orono Public School District,16,877,1,Buffalo-Hanover-Montrose Schools
23-24,278,1,Orono Public School District,102,879,1,Delano Public School District
23-24,278,1,Orono Public School District,45,883,1,Rockford Public School District
23-24,278,1,Orono Public School District,4,885,1,St. Michael-Albertville School District
23-24,278,1,Orono Public School District,1,2687,1,Howard Lake-Waverly-Winsted
23-24,279,1,Osseo Public School District,177,1,3,Minneapolis Public School District
23-24,279,1,Osseo Public School District,524,11,1,Anoka-Hennepin Public School District
23-24,279,1,Osseo Public School District,3,12,1,Centennial Public School District
23-24,279,1,Osseo Public School District,9,13,1,Columbia Heights Public School District
23-24,279,1,Osseo Public School District,13,14,1,Fridley Public School District
23-24,279,1,Osseo Public School District,6,15,1,St. Francis Area Schools
23-24,279,1,Osseo Public School District,10,16,1,Spring Lake Park Public Schools
23-24,279,1,Osseo Public School District,2,112,1,Eastern Carver County Public Schools
23-24,279,1,Osseo Public School District,2,138,1,North Branch Area Public Schools
23-24,279,1,Osseo Public School District,3,191,1,Burnsville-Eagan-Savage School District
23-24,279,1,Osseo Public School District,2,194,1,Lakeville Area Schools
23-24,279,1,Osseo Public School District,3,196,1,Rosemount-Apple Valley-Eagan
23-24,279,1,Osseo Public School District,2,199,1,Inver Grove Heights Schools
23-24,279,1,Osseo Public School District,1,206,1,Alexandria Public School District
23-24,279,1,Osseo Public School District,1,213,1,Osakis Public School District
23-24,279,1,Osseo Public School District,1,270,1,Hopkins Public School District
23-24,279,1,Osseo Public School District,1,272,1,Eden Prairie Public School District
23-24,279,1,Osseo Public School District,3,276,1,Minnetonka Public School District
23-24,279,1,Osseo Public School District,1,277,1,Westonka Public School District
23-24,279,1,Osseo Public School District,1,278,1,Orono Public School District
23-24,279,1,Osseo Public School District,314,281,1,Robbinsdale Public School District
23-24,279,1,Osseo Public School District,2,282,1,St. Anthony-New Brighton Schools
23-24,279,1,Osseo Public School District,1,283,1,St. Louis Park Public School District
23-24,279,1,Osseo Public School District,31,284,1,Wayzata Public School District
23-24,279,1,Osseo Public School District,180,286,1,Brooklyn Center Community Schools
23-24,279,1,Osseo Public School District,8,621,1,Mounds View Public School District
23-24,279,1,Osseo Public School District,3,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,279,1,Osseo Public School District,1,623,1,Roseville Public School District
23-24,279,1,Osseo Public School District,2,624,1,White Bear Lake School District
23-24,279,1,Osseo Public School District,9,625,1,Saint Paul Public Schools
23-24,279,1,Osseo Public School District,1,720,1,Shakopee Public School District
23-24,279,1,Osseo Public School District,2,727,1,Big Lake Public School District
23-24,279,1,Osseo Public School District,58,728,1,Elk River Public School District
23-24,279,1,Osseo Public School District,5,742,1,St. Cloud Public School District
23-24,279,1,Osseo Public School District,1,831,1,Forest Lake Public School District
23-24,279,1,Osseo Public School District,24,877,1,Buffalo-Hanover-Montrose Schools
23-24,279,1,Osseo Public School District,1,881,1,Maple Lake Public School District
23-24,279,1,Osseo Public School District,3,882,1,Monticello Public School District
23-24,279,1,Osseo Public School District,34,883,1,Rockford Public School District
23-24,279,1,Osseo Public School District,9,885,1,St. Michael-Albertville School District
23-24,279,1,Osseo Public School District,2,911,1,Cambridge-Isanti Public School District
23-24,279,1,Osseo Public School District,1,2149,1,Minnewaska School District
23-24,279,1,Osseo Public School District,1,2888,1,Clinton-Graceville-Beardsley
23-24,280,1,Richfield Public School District,264,1,3,Minneapolis Public School District
23-24,280,1,Richfield Public School District,5,6,3,South St. Paul Public School District
23-24,280,1,Richfield Public School District,2,11,1,Anoka-Hennepin Public School District
23-24,280,1,Richfield Public School District,2,14,1,Fridley Public School District
23-24,280,1,Richfield Public School District,50,191,1,Burnsville-Eagan-Savage School District
23-24,280,1,Richfield Public School District,7,192,1,Farmington Public School District
23-24,280,1,Richfield Public School District,11,194,1,Lakeville Area Schools
23-24,280,1,Richfield Public School District,23,196,1,Rosemount-Apple Valley-Eagan
23-24,280,1,Richfield Public School District,3,197,1,West St. Paul-Mendota Heights-Eagan
23-24,280,1,Richfield Public School District,3,199,1,Inver Grove Heights Schools
23-24,280,1,Richfield Public School District,1,200,1,Hastings Public School District
23-24,280,1,Richfield Public School District,5,270,1,Hopkins Public School District
23-24,280,1,Richfield Public School District,241,271,1,Bloomington Public School District
23-24,280,1,Richfield Public School District,4,272,1,Eden Prairie Public School District
23-24,280,1,Richfield Public School District,29,273,1,Edina Public School District
23-24,280,1,Richfield Public School District,9,279,1,Osseo Public School District
23-24,280,1,Richfield Public School District,7,281,1,Robbinsdale Public School District
23-24,280,1,Richfield Public School District,3,283,1,St. Louis Park Public School District
23-24,280,1,Richfield Public School District,1,284,1,Wayzata Public School District
23-24,280,1,Richfield Public School District,1,286,1,Brooklyn Center Community Schools
23-24,280,1,Richfield Public School District,1,621,1,Mounds View Public School District
23-24,280,1,Richfield Public School District,1,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,280,1,Richfield Public School District,2,623,1,Roseville Public School District
23-24,280,1,Richfield Public School District,7,625,1,Saint Paul Public Schools
23-24,280,1,Richfield Public School District,3,719,1,Prior Lake-Savage Area Schools
